General : Start date,"11/4/2020 2:14 PM"
General : End date,"11/4/2020 2:34 PM"
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.08456"
"0.10000","0.00030","0.00082"
"0.20000","0.00141","0.47554"
"0.30000","0.00443","0.14339"
"0.40000","0.01068","0.01884"
"0.50000","0.01552","0.57894"
"0.60000","0.01875","0.37840"
"0.70000","0.02288","0.69174"
"0.80000","0.02631","-0.26003"
"0.90000","0.02973","0.54682"
"1.00000","0.03356","0.96984"
"1.10000","0.03669","0.53899"
"1.20000","0.04022","0.52097"
"1.30000","0.04374","0.83823"
"1.40000","0.04667","0.83588"
"1.50000","0.04999","0.77165"
"1.60000","0.05362","0.27891"
"1.70000","0.05665","0.86565"
"1.80000","0.05977","0.36195"
"1.90000","0.06360","0.22956"
"2.00000","0.06662","0.56406"
"2.10000","0.06965","0.42540"
"2.20000","0.07348","0.71446"
"2.30000","0.07670","0.10266"
"2.40000","0.07983","0.46535"
"2.50000","0.08386","1.01919"
"2.60000","0.08668","0.44185"
"2.70000","0.08991","0.64709"
"2.80000","0.09404","1.31059"
"2.90000","0.09706","1.21973"
"3.00000","0.10029","0.58051"
"3.10000","0.10402","0.67764"
"3.20000","0.10674","1.28788"
"3.30000","0.10997","0.30868"
"3.40000","0.11370","0.61732"
"3.50000","0.11632","0.27735"
"3.60000","0.11974","0.85311"
"3.70000","0.12388","1.13277"
"3.80000","0.12640","0.99569"
"3.90000","0.13012","0.81552"
"4.00000","0.13395","1.42026"
"4.10000","0.13647","1.95216"
"4.20000","0.14020","1.77982"
"4.30000","0.14383","1.52680"
"4.40000","0.14635","0.59931"
"4.50000","0.15048","0.95417"
"4.60000","0.15391","1.89184"
"4.70000","0.15643","0.95730"
"4.80000","0.16056","1.81194"
"4.90000","0.16379","1.43985"
"5.00000","0.16621","1.49547"
"5.10000","0.17034","1.76259"
"5.20000","0.17357","2.58120"
"5.30000","0.17619","1.38188"
"5.40000","0.18022","2.03912"
"5.50000","0.18334","1.12651"
"5.60000","0.18637","0.85390"
"5.70000","0.19050","1.77748"
"5.80000","0.19352","1.72734"
"5.90000","0.19635","2.13547"
"6.00000","0.20048","2.67207"
"6.10000","0.20360","2.28196"
"6.20000","0.20643","2.52480"
"6.30000","0.21046","2.12685"
"6.40000","0.21348","2.24671"
"6.50000","0.21640","1.26281"
"6.60000","0.22064","2.86399"
"6.70000","0.22356","1.53307"
"6.80000","0.22648","1.70227"
"6.90000","0.23031","2.22164"
"7.00000","0.23324","2.08768"
"7.10000","0.23636","2.22007"
"7.20000","0.24019","2.58042"
"7.30000","0.24311","2.25141"
"7.40000","0.24654","2.16210"
"7.50000","0.25057","2.32269"
"7.60000","0.25350","2.44411"
"7.70000","0.25682","1.32000"
"7.80000","0.26045","2.05008"
"7.90000","0.26347","2.31642"
