General : Start date,"11/2/2020 3:02 PM"
General : End date,"11/2/2020 3:04 PM"
Specimen notes : Specimen note 1,""
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-0.36979"
"0.10000","0.00030","-0.40740"
"0.20000","0.00141","0.26707"
"0.30000","0.00464","5.72785"
"0.40000","0.01038","26.37634"
"0.50000","0.01562","47.33974"
"0.60000","0.01935","62.84628"
"0.70000","0.02278","75.24602"
"0.80000","0.02651","88.44166"
"0.90000","0.02973","100.84297"
"1.00000","0.03346","113.31243"
"1.10000","0.03699","125.72002"
"1.20000","0.04012","136.90479"
"1.30000","0.04354","148.05899"
"1.40000","0.04707","160.11093"
"1.50000","0.04999","170.94240"
"1.60000","0.05332","180.89182"
"1.70000","0.05685","193.20616"
"1.80000","0.05977","203.26210"
"1.90000","0.06330","214.25807"
"2.00000","0.06703","227.21950"
"2.10000","0.06985","236.92763"
"2.20000","0.07368","247.59772"
"2.30000","0.07731","261.20227"
"2.40000","0.07993","269.06482"
"2.50000","0.08376","280.59659"
"2.60000","0.08729","292.03516"
"2.70000","0.09011","301.55765"
"2.80000","0.09384","311.74207"
"2.90000","0.09717","323.98669"
"3.00000","0.09989","332.23859"
"3.10000","0.10352","342.52249"
"3.20000","0.10694","354.51880"
"3.30000","0.10976","363.73343"
"3.40000","0.11339","374.02438"
"3.50000","0.11682","386.39670"
"3.60000","0.11974","394.82956"
"3.70000","0.12357","407.18149"
"3.80000","0.12690","418.87228"
"3.90000","0.13002","428.91415"
"4.00000","0.13395","440.76163"
"4.10000","0.13678","450.79486"
"4.20000","0.14020","461.11481"
"4.30000","0.14403","474.07779"
"4.40000","0.14665","483.13647"
"4.50000","0.14988","492.23438"
"4.60000","0.15391","505.74887"
"4.70000","0.15653","515.24786"
"4.80000","0.15986","524.16949"
"4.90000","0.16389","537.40747"
"5.00000","0.16671","548.23181"
"5.10000","0.16984","557.04382"
"5.20000","0.17377","570.03424"
"5.30000","0.17659","578.88379"
"5.40000","0.17982","587.80939"
"5.50000","0.18375","600.84363"
"5.60000","0.18657","610.24939"
"5.70000","0.19000","620.07819"
"5.80000","0.19403","632.87823"
"5.90000","0.19715","643.66193"
"6.00000","0.20028","652.64539"
"6.10000","0.20380","664.02832"
"6.20000","0.20693","674.53241"
"6.30000","0.21015","684.88599"
"6.40000","0.21348","694.86755"
"6.50000","0.21661","704.95715"
"6.60000","0.21993","715.36169"
"6.70000","0.22336","725.19830"
"6.80000","0.22668","736.21777"
"6.90000","0.23001","745.32977"
"7.00000","0.23354","757.05896"
"7.10000","0.23666","766.55328"
"7.20000","0.23979","776.35229"
"7.30000","0.24352","787.97565"
"7.40000","0.24674","798.13348"
"7.50000","0.25007","808.30774"
"7.60000","0.25380","819.89978"
"7.70000","0.25682","829.41290"
"7.80000","0.26035","839.82050"
