General : Start date,"11/4/2020 1:42 PM"
General : End date,"11/4/2020 1:49 PM"
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00010","0.52577"
"0.10000","0.00060","0.53282"
"0.20000","0.00192","0.01737"
"0.30000","0.00595","0.07455"
"0.40000","0.01220","-0.50983"
"0.50000","0.01603","0.68166"
"0.60000","0.01945","0.72787"
"0.70000","0.02258","0.38241"
"0.80000","0.02631","0.78584"
"0.90000","0.03014","0.63309"
"1.00000","0.03306","0.35343"
"1.10000","0.03629","0.49600"
"1.20000","0.04022","0.55319"
"1.30000","0.04324","1.10937"
"1.40000","0.04667","0.34873"
"1.50000","0.05030","0.72395"
"1.60000","0.05312","0.68087"
"1.70000","0.05665","1.02555"
"1.80000","0.06048","0.91979"
"1.90000","0.06320","0.17874"
"2.00000","0.06693","0.43490"
"2.10000","0.07056","0.39024"
"2.20000","0.07318","0.81561"
"2.30000","0.07691","-0.21529"
"2.40000","0.08023","0.57198"
"2.50000","0.08285","0.64875"
"2.60000","0.08668","0.53360"
"2.70000","0.09011","-0.07898"
"2.80000","0.09293","0.30016"
"2.90000","0.09706","0.27901"
"3.00000","0.10019","0.58922"
"3.10000","0.10311","0.41766"
"3.20000","0.10714","0.63700"
"3.30000","0.11027","1.23706"
"3.40000","0.11309","1.13992"
"3.50000","0.11732","0.76547"
"3.60000","0.12025","1.62090"
"3.70000","0.12317","0.96601"
"3.80000","0.12730","1.67887"
"3.90000","0.13023","1.51906"
"4.00000","0.13315","2.41287"
"4.10000","0.13708","1.86296"
"4.20000","0.13980","1.98203"
"4.30000","0.14293","1.81595"
"4.40000","0.14686","2.39016"
"4.50000","0.14978","1.93502"
"4.60000","0.15290","2.47867"
"4.70000","0.15704","2.08073"
"4.80000","0.16016","2.26403"
"4.90000","0.16339","2.62203"
"5.00000","0.16722","2.16847"
"5.10000","0.17004","1.99613"
"5.20000","0.17316","2.43245"
"5.30000","0.17709","2.83588"
"5.40000","0.17992","2.49669"
"5.50000","0.18324","2.97924"
"5.60000","0.18717","3.15314"
"5.70000","0.19000","3.55814"
"5.80000","0.19332","2.58913"
"5.90000","0.19685","2.91109"
"6.00000","0.19977","2.61419"
"6.10000","0.20310","3.75476"
"6.20000","0.20673","3.73909"
"6.30000","0.20985","3.44455"
"6.40000","0.21328","4.05870"
"6.50000","0.21691","4.02502"
"6.60000","0.22003","4.20127"
"6.70000","0.22346","4.55848"
"6.80000","0.22699","4.50287"
"6.90000","0.23001","4.23574"
"7.00000","0.23354","4.37440"
"7.10000","0.23697","4.97993"
"7.20000","0.23989","4.48563"
"7.30000","0.24342","5.26899"
"7.40000","0.24684","4.99481"
"7.50000","0.24977","4.49425"
"7.60000","0.25340","5.43114"
"7.70000","0.25682","5.46091"
"7.80000","0.25975","4.36030"
"7.90000","0.26317","5.08020"
