General : Start date,"11/2/2020 3:34 PM"
General : End date,"11/2/2020 3:35 PM"
Specimen notes : Specimen note 1,""
Test : Rate 1,"2.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","-1.34515"
"0.10000","0.00050","-1.01849"
"0.20000","0.00222","-1.54647"
"0.30000","0.00403","-1.56136"
"0.40000","0.00595","-1.43367"
"0.50000","0.00917","4.86216"
"0.60000","0.01562","20.59274"
"0.70000","0.02177","39.51706"
"0.80000","0.02550","51.67632"
"0.90000","0.02953","62.81643"
"1.00000","0.03276","72.27154"
"1.10000","0.03629","82.27187"
"1.20000","0.03991","94.30109"
"1.30000","0.04284","102.42449"
"1.40000","0.04626","112.37624"
"1.50000","0.04979","124.39763"
"1.60000","0.05282","133.84804"
"1.70000","0.05655","144.46252"
"1.80000","0.06007","153.91528"
"1.90000","0.06320","163.06960"
"2.00000","0.06693","174.12117"
"2.10000","0.07005","184.00792"
"2.20000","0.07308","192.44858"
"2.30000","0.07711","204.79271"
"2.40000","0.08023","214.99670"
"2.50000","0.08315","223.39821"
"2.60000","0.08729","235.28484"
"2.70000","0.09021","243.39650"
"2.80000","0.09313","251.94919"
"2.90000","0.09696","262.93811"
"3.00000","0.09989","271.55423"
"3.10000","0.10281","279.49747"
"3.20000","0.10664","290.69086"
"3.30000","0.10987","301.04761"
"3.40000","0.11299","309.10522"
"3.50000","0.11672","320.59940"
"3.60000","0.12005","330.51120"
"3.70000","0.12317","339.06311"
"3.80000","0.12680","349.68149"
"3.90000","0.13012","358.92511"
"4.00000","0.13295","366.92865"
"4.10000","0.13718","379.19992"
"4.20000","0.14051","390.62598"
"4.30000","0.14323","398.33575"
"4.40000","0.14655","407.15793"
"4.50000","0.15008","418.15778"
"4.60000","0.15341","427.59256"
"4.70000","0.15683","438.94574"
"4.80000","0.15976","447.01431"
"4.90000","0.16318","457.30603"
"5.00000","0.16671","467.75992"
"5.10000","0.16994","477.27301"
"5.20000","0.17296","485.76770"
"5.30000","0.17689","498.10168"
"5.40000","0.18012","508.01266"
"5.50000","0.18324","516.29510"
"5.60000","0.18717","528.54529"
"5.70000","0.19020","537.99957"
"5.80000","0.19322","545.13281"
"5.90000","0.19715","557.54510"
"6.00000","0.19997","567.62762"
"6.10000","0.20300","574.56195"
"6.20000","0.20693","586.05145"
"6.30000","0.20995","595.66010"
"6.40000","0.21298","604.30286"
"6.50000","0.21691","616.45032"
"6.60000","0.21993","624.86047"
"6.70000","0.22296","632.76923"
"6.80000","0.22689","644.78430"
"6.90000","0.22981","653.50861"
"7.00000","0.23303","662.03467"
"7.10000","0.23707","674.23389"
"7.20000","0.23989","682.34393"
"7.30000","0.24332","690.31067"
"7.40000","0.24705","703.26038"
"7.50000","0.24997","710.74921"
"7.60000","0.25329","720.76440"
"7.70000","0.25682","731.27704"
"7.80000","0.25964","739.04169"
